hour_of_year,load_kw
732,59.321
733,58.477
734,56.287
735,50.454
736,42.849
737,36.607
738,33.528
739,31.314
740,16.785
741,16.258
742,15.932
743,16.345
744,17.215
745,16.415
746,17.628
747,16.858
748,16.168
749,16.306
750,30.367
751,37.713
752,51.297
753,56.551
754,59.93
755,59.359
756,55.572
757,53.043
758,53.015
759,49.081
760,41.104
761,33.658
762,29.095
763,28.466
764,14.945
765,14.956
766,16.195
767,16.057
768,16.897
769,17.463
770,17.427
771,16.415
772,16.459
773,16.94
774,30.984
775,38.451
776,48.25
777,61.187
778,58.768
779,56.574
780,55.891
781,55.186
782,52.016
783,48.338
784,39.051
785,33.376
786,31.565
787,28.963
788,15.166
789,15.45
790,16.354
791,17.091
792,16.419
793,17.257
794,16.081
795,16.532
796,17.379
797,15.817
798,17.148
799,15.882
800,16.616
801,16.581
802,35.039
803,30.097
804,29.636
805,29.38
806,28.811
807,27.516
808,13.843
809,13.592
810,14.12
811,14.36
812,15.294
813,16.049
814,17.073
815,16.38
816,16.521
817,16.673
818,16.53
819,16.632
820,16.003
821,16.808
822,16.272
823,16.255
824,15.992
825,17.137
826,34.21
827,33.612
828,31.341
829,28.533
830,28.004
831,28.678
832,13.654
833,13.626
834,14.2
835,14.606
836,14.817
837,15.69
838,16.285
839,15.575
840,16.862
841,16.315
842,17.196
843,16.174
844,15.996
845,17.148
846,28.987
847,38.239
848,49.145
849,57.509
850,56.488
851,57.538
852,55.453
853,56.143
854,54.165
855,52.332
856,38.569
857,33.592
858,29.347
859,29.257
860,15.514
861,16.117
862,16.162
863,16.343
864,15.808
865,17.365
866,16.865
867,16.545
868,17.042
869,16.966
870,30.919
871,37.28
872,47.558
873,58.271
874,59.45
875,58.639
876,54.319
877,54.571
878,56.323
879,49.482
880,41.099
881,33.594
882,30.729
883,29.718
884,15.242
885,16.303
886,16.122
887,16.899
888,17.03
889,16.34
890,17.11
891,16.372
892,16.318
893,16.653
894,31.641
895,39.158
896,49.555
897,56.926
898,59.041
899,55.584
900,54.928
901,55.534
902,53.328
903,50.405
904,40.02
905,33.444
906,31.113
907,27.975
908,14.624
909,16.334
910,16.653
911,15.752
912,16.672
913,16.485
914,17.38
915,16.35
916,16.411
917,16.274
918,29.388
919,38.177
920,46.684
921,56.492
922,56.56
923,55.125
924,53.551
925,53.689
926,52.467
927,47.149
928,40.705
929,33.57
930,29.825
931,28.106
932,15.807
933,15.914
934,16.678
935,15.577
936,16.381
937,15.749
938,16.476
939,16.809
940,16.372
941,16.869
942,29.411
943,39.417
944,46.542
945,57.608
946,59.545
947,58.036
948,55.547
949,57.035
950,52.827
951,48.092
952,37.449
953,35.096
954,29.872
955,27.6
956,15.703
957,16.308
958,16.527
959,16.056
960,16.828
961,16.394
962,16.166
963,17.088
964,15.765
965,16.889
966,16.844
967,17.507
968,16.789
969,15.796
970,33.614
971,32.726
972,31.405
973,30.533
974,27.374
975,27.912
976,14.258
977,14.548
978,14.927
979,14.528
980,15.618
981,16.496
982,16.976
983,16.954
984,16.998
985,16.324
986,16.051
987,17.062
988,16.509
989,16.641
990,16.412
991,16.49
992,16.75
993,16.228
994,34.39
995,32.874
996,31.068
997,29.248
998,29.35
999,29.462
1000,13.711
1001,14.44
1002,14.581
1003,13.698
1004,14.912
1005,15.568
1006,16.805
1007,16.732
1008,16.851
1009,16.918
1010,16.279
1011,16.342
1012,16.144
1013,16.582
1014,30.093
1015,39.024
1016,47.542
1017,59.301
1018,60.278
1019,59.483
1020,56.715
1021,54.65
1022,54.277
1023,49.382
1024,39.568
1025,34.693
1026,31.446
1027,29.841
1028,15.215
1029,15.948
1030,16.654
1031,16.652
1032,16.911
1033,16.603
1034,16.572
1035,17.385
1036,16.722
1037,16.681
1038,30.848
1039,39.003
1040,48.775
1041,57.895
1042,57.129
1043,57.224
1044,54.14
1045,54.683
1046,51.803
1047,49.755
1048,40.977
1049,33.846
1050,30.075
1051,28.732
1052,14.455
1053,15.385
1054,16.421
1055,16.797
1056,16.62
1057,16.235
1058,16.709
1059,16.464
1060,16.208
1061,16.79
1062,30.024
1063,40.02
1064,49.228
1065,59.052
1066,59.4
1067,56.059
1068,54.421
1069,52.397
1070,57.222
1071,47.328
1072,40.013
1073,33.307
1074,29.939
1075,28.02
1076,14.491
1077,15.424
1078,15.909
1079,16.6
1080,16.368
1081,16.367
1082,16.743
1083,16.411
1084,17.041
1085,16.492
1086,30.353
1087,37.57
1088,49.217
1089,57.4
1090,59.529
1091,57.741
1092,55.482
1093,54.693
1094,52.865
1095,50.277
1096,41.163
1097,34.015
1098,29.261
1099,27.654
1100,14.949
1101,15.722
1102,16.667
1103,16.28
1104,17.143
1105,16.655
1106,15.815
1107,16.455
1108,15.577
1109,16.34
1110,29.769
1111,38.264
1112,48.029
1113,57.416
1114,58.052
1115,59.42
1116,57.417
1117,52.845
1118,55.053
1119,46.669
1120,39.405
1121,34.892
1122,28.463
1123,28.844
1124,14.725
1125,15.762
1126,16.408
1127,17.36
1128,16.316
1129,16.624
1130,16.914
1131,16.548
1132,16.311
1133,16.629
1134,16.692
1135,17.021
1136,16.261
1137,16.466
1138,34.608
1139,32.537
1140,30.984
1141,29.789
1142,28.283
1143,27.582
1144,14.074
1145,13.624
1146,14.679
1147,14.75
1148,14.716
1149,15.931
1150,16.551
1151,16.97
1152,17.136
1153,16.501
1154,16.359
1155,16.401
1156,16.245
1157,16.342
1158,16.772
1159,16.66
1160,16.449
1161,16.346
1162,34.63
1163,32.264
1164,30.319
1165,29.689
1166,28.594
1167,27.391
1168,14.208
1169,14.304
1170,14.278
1171,14.719
1172,15.402
1173,15.807
1174,16.85
1175,17.343
1176,16.687
1177,16.836
1178,17.017
1179,16.512
1180,16.183
1181,17.03
1182,16.0
1183,17.398
1184,17.016
1185,33.823
1186,33.28
1187,32.963
1188,29.325
1189,27.876
1190,27.277
1191,26.874
1192,13.57
1193,14.062
1194,14.312
1195,14.372
1196,15.811
1197,15.269
1198,15.956
1199,16.81
1200,16.567
1201,16.827
1202,16.395
1203,16.223
1204,16.384
1205,16.369
1206,30.579
1207,38.391
1208,49.344
1209,58.84
1210,60.46
1211,58.558
1212,56.817
1213,55.444
1214,52.69
1215,48.322
1216,38.383
1217,33.855
1218,29.643
1219,28.721
1220,15.402
1221,15.285
1222,16.065
1223,16.508
1224,16.438
1225,16.723
1226,16.172
1227,16.673
1228,15.95
1229,15.756
1230,30.724
1231,37.589
1232,47.744
1233,55.932
1234,56.851
1235,56.698
1236,55.153
1237,55.734
1238,53.98
1239,48.323
1240,40.986
1241,34.548
1242,30.461
1243,28.147
1244,15.588
1245,16.519
1246,16.755
1247,17.39
1248,17.039
1249,17.007
1250,16.199
1251,16.19
1252,16.633
1253,15.958
1254,29.735
1255,39.7
1256,47.617
1257,58.76
1258,56.936
1259,56.562
1260,57.15
1261,54.681
1262,53.767
1263,50.714
1264,41.528
1265,32.873
1266,31.144
1267,27.998
1268,15.195
1269,15.825
1270,16.925
1271,16.183
1272,16.841
1273,16.871
1274,16.991
1275,16.566
1276,17.071
1277,16.357
1278,31.048
1279,39.2
1280,46.727
1281,58.579
1282,59.191
1283,56.76
1284,54.698
1285,54.071
1286,51.455
1287,50.696
1288,39.089
1289,33.054
1290,31.014
1291,28.852
1292,15.475
1293,16.419
1294,16.354
1295,16.217
1296,17.005
1297,16.985
1298,16.517
1299,16.126
1300,17.169
1301,16.893
1302,16.081
1303,16.978
1304,16.053
1305,16.452
1306,33.367
1307,32.152
1308,30.48
1309,29.345
1310,29.305
1311,28.352
1312,14.139
1313,14.39
1314,14.131
1315,14.7
1316,15.406
1317,16.494
1318,16.853
1319,17.228
1320,17.077
1321,17.093
1322,15.91
1323,17.02
1324,16.742
1325,16.676
1326,16.434
1327,16.476
1328,16.826
1329,17.003
1330,33.046
1331,32.852
1332,30.692
1333,29.094
1334,29.067
1335,27.913
1336,13.691
1337,13.738
1338,14.364
1339,14.667
1340,14.786
1341,15.487
1342,16.407
1343,16.822
1344,16.216
1345,16.856
1346,16.31
1347,17.789
1348,16.261
1349,16.324
1350,30.329
1351,37.981
1352,49.424
1353,60.599
1354,58.356
1355,57.516
1356,55.003
1357,54.397
1358,55.29
1359,49.728
1360,39.315
1361,34.909
1362,31.027
1363,28.781
1364,14.951
1365,15.845
1366,16.155
1367,16.848
1368,16.521
1369,15.723
1370,17.039
1371,16.733
1372,17.102
1373,16.596
1374,30.325
1375,39.941
1376,48.892
1377,58.405
1378,63.662
1379,57.027
1380,55.96
1381,56.756
1382,52.305
1383,47.375
1384,38.784
1385,34.058
1386,30.622
1387,28.963
1388,14.687
1389,16.217
1390,16.976
1391,16.613
1392,16.667
1393,16.934
1394,16.806
1395,16.92
1396,16.201
1397,16.58
1398,29.268
1399,39.471
1400,49.064
1401,57.844
1402,59.364
1403,55.04
1404,56.919
1405,53.762
1406,53.552
1407,49.997
1408,39.463
1409,34.616
1410,30.244
1411,28.456
1412,15.413
1413,15.326
1414,16.727
1415,16.679
1416,17.085
1417,15.427
1418,15.801
1419,16.368
1420,16.287
1421,15.742
1422,24.498
1423,37.143
1424,44.049
1425,50.936
1426,52.592
1427,47.587
1428,45.694
1429,46.832
1430,45.958
1431,41.195
1432,31.811
1433,25.841
1434,21.734
1435,20.989
1436,11.719
1437,12.823
1438,13.668
1439,13.659
1440,14.75
1441,15.817
1442,16.563
1443,15.609
1444,16.45
1445,15.717
1446,23.789
1447,37.439
1448,44.89
1449,51.023
1450,51.95
1451,50.7
1452,48.47
1453,49.468
1454,46.444
1455,37.904
1456,32.302
1457,25.461
1458,22.407
1459,20.882
1460,12.014
1461,12.522
1462,14.042
1463,14.499
1464,14.695
1465,15.775
1466,16.215
1467,16.732
1468,15.881
1469,16.535
1470,15.703
1471,15.959
1472,14.873
1473,13.475
1474,27.096
1475,24.175
1476,23.528
1477,22.209
1478,20.943
1479,19.712
1480,10.543
1481,10.708
1482,11.142
1483,12.021
1484,12.429
1485,12.719
1486,14.011
1487,13.797
1488,15.201
1489,15.443
1490,16.04
1491,16.477
1492,16.034
1493,16.543
1494,15.942
1495,16.446
1496,14.831
1497,14.739
1498,27.51
1499,24.561
1500,24.461
1501,21.651
1502,19.975
1503,20.91
1504,11.136
1505,10.953
1506,11.139
1507,12.107
1508,12.43
1509,12.66
1510,13.827
1511,13.842
1512,14.736
1513,15.104
1514,15.068
1515,15.741
1516,16.81
1517,15.773
1518,24.279
1519,34.957
1520,45.108
1521,52.071
1522,52.301
1523,49.767
1524,46.839
1525,45.696
1526,46.708
1527,40.91
1528,33.168
1529,23.888
1530,23.147
1531,20.617
1532,12.876
1533,12.707
1534,13.588
1535,14.522
1536,14.618
1537,15.85
1538,15.688
1539,16.741
1540,16.635
1541,16.419
1542,24.172
1543,35.813
1544,44.483
1545,49.423
1546,50.955
1547,51.069
1548,46.722
1549,48.334
1550,45.032
1551,41.3
1552,31.604
1553,26.253
1554,22.782
1555,21.468
1556,12.626
1557,13.275
1558,13.65
1559,13.848
1560,15.44
1561,15.005
1562,15.771
1563,16.517
1564,16.492
1565,16.864
1566,24.615
1567,34.481
1568,43.848
1569,52.296
1570,51.215
1571,51.661
1572,47.953
1573,45.155
1574,46.285
1575,39.794
1576,33.92
1577,26.114
1578,21.732
1579,21.438
1580,12.936
1581,12.227
1582,13.885
1583,14.459
1584,15.011
1585,15.644
1586,16.142
1587,15.937
1588,16.887
1589,15.671
1590,25.823
1591,37.377
1592,42.843
1593,52.062
1594,53.502
1595,49.287
1596,48.056
1597,46.365
1598,47.086
1599,40.347
1600,32.53
1601,26.289
1602,22.405
1603,20.422
1604,11.803
1605,12.383
1606,13.178
1607,13.672
1608,14.674
1609,15.628
1610,15.967
1611,15.883
1612,15.896
1613,15.816
1614,23.763
1615,34.89
1616,44.941
1617,50.241
1618,51.69
1619,49.128
1620,51.18
1621,44.732
1622,45.972
1623,40.627
1624,31.91
1625,26.143
1626,22.609
1627,20.317
1628,12.342
1629,12.997
1630,14.023
1631,14.068
1632,15.495
1633,15.435
1634,15.158
1635,16.431
1636,16.278
1637,15.861
1638,16.317
1639,15.328
1640,15.325
1641,14.257
1642,27.58
1643,25.734
1644,23.936
1645,21.667
1646,21.642
1647,20.484
1648,11.389
1649,11.07
1650,11.423
1651,11.424
1652,12.088
1653,12.903
1654,13.181
1655,13.868
1656,14.905
1657,15.481
1658,16.026
1659,16.671
1660,16.148
1661,16.495
1662,15.888
1663,15.436
1664,15.041
1665,13.548
1666,27.117
1667,24.9
1668,23.106
1669,21.192
1670,20.921
1671,19.512
1672,11.082
1673,10.874
1674,10.741
1675,11.45
1676,12.443
1677,12.68
1678,13.483
1679,14.154
1680,14.897
1681,14.852
1682,15.927
1683,15.992
1684,17.516
1685,16.132
1686,24.337
1687,36.892
1688,43.98
1689,52.399
1690,50.538
1691,51.839
1692,47.494
1693,47.276
1694,47.046
1695,40.657
1696,32.538
1697,26.319
1698,22.906
1699,20.306
1700,12.268
1701,12.567
1702,13.326
1703,14.054
1704,15.399
1705,16.13
1706,16.984
1707,16.196
1708,15.968
1709,15.825
1710,25.607
1711,34.618
1712,43.802
1713,51.333
1714,53.928
1715,48.635
1716,49.58
1717,48.374
1718,45.56
1719,41.446
1720,31.286
1721,25.881
1722,22.401
1723,19.528
1724,12.339
1725,12.986
1726,13.004
1727,13.782
1728,14.665
1729,15.306
1730,15.823
1731,15.83
1732,15.901
1733,16.343
1734,24.325
1735,35.906
1736,43.899
1737,52.665
1738,51.468
1739,50.974
1740,48.376
1741,47.877
1742,47.177
1743,39.473
1744,33.288
1745,27.095
1746,21.974
1747,20.858
1748,12.103
1749,13.013
1750,13.755
1751,14.047
1752,15.436
1753,15.179
1754,15.89
1755,16.633
1756,17.108
1757,16.011
1758,25.099
1759,36.2
1760,42.406
1761,50.826
1762,50.111
1763,49.271
1764,47.749
1765,46.869
1766,47.212
1767,41.402
1768,34.696
1769,25.781
1770,22.966
1771,21.091
1772,12.672
1773,12.75
1774,13.866
1775,14.868
1776,14.676
1777,15.482
1778,16.146
1779,16.042
1780,15.955
1781,16.962
1782,24.476
1783,37.563
1784,43.591
1785,51.8
1786,52.697
1787,49.642
1788,47.167
1789,45.994
1790,46.063
1791,40.287
1792,32.609
1793,24.475
1794,22.207
1795,20.781
1796,12.056
1797,12.552
1798,13.279
1799,14.311
1800,15.501
1801,14.969
1802,15.835
1803,16.615
1804,16.448
1805,16.18
1806,15.766
1807,15.516
1808,14.907
1809,13.505
1810,26.588
1811,24.071
1812,24.42
1813,22.698
1814,20.738
1815,20.885
1816,11.51
1817,10.769
1818,11.576
1819,11.752
1820,12.14
1821,12.516
1822,13.39
1823,14.145
1824,14.08
1825,15.717
1826,15.817
1827,16.405
1828,16.141
1829,17.434
1830,15.285
1831,15.149
1832,15.209
1833,15.128
1834,26.4
1835,26.461
1836,23.114
1837,22.96
1838,21.195
1839,21.614
1840,11.329
1841,10.762
1842,12.035
1843,11.319
1844,12.117
1845,13.453
1846,13.329
1847,14.057
1848,14.994
1849,15.687
1850,16.1
1851,15.916
1852,16.392
1853,16.477
1854,25.543
1855,36.298
1856,42.769
1857,52.106
1858,50.866
1859,51.545
1860,46.23
1861,47.492
1862,44.532
1863,42.272
1864,33.165
1865,26.081
1866,22.806
1867,20.699
1868,12.419
1869,12.855
1870,13.827
1871,14.307
1872,14.018
1873,15.312
1874,16.55
1875,16.807
1876,16.354
1877,16.167
1878,24.411
1879,36.57
1880,44.791
1881,50.795
1882,52.522
1883,51.437
1884,47.1
1885,46.618
1886,46.281
1887,41.709
1888,32.196
1889,25.596
1890,22.261
1891,21.076
1892,12.343
1893,12.865
1894,13.116
1895,13.897
1896,15.183
1897,15.038
1898,16.036
1899,16.072
1900,16.066
1901,16.229
1902,25.649
1903,36.262
1904,43.826
1905,50.151
1906,52.329
1907,51.317
1908,48.984
1909,48.202
1910,46.296
1911,39.634
1912,32.501
1913,26.279
1914,22.928
1915,20.617
1916,12.193
1917,12.989
1918,14.01
1919,14.645
1920,15.187
1921,15.665
1922,15.537
1923,15.772
1924,16.274
1925,16.641
1926,24.861
1927,36.507
1928,42.495
1929,50.167
1930,53.114
1931,49.856
1932,46.667
1933,47.869
1934,46.046
1935,43.992
1936,33.555
1937,26.163
1938,22.437
1939,20.996
1940,12.181
1941,12.408
1942,13.894
1943,14.384
1944,13.916
1945,15.265
1946,15.615
1947,16.616
1948,16.294
1949,16.822
1950,23.638
1951,35.034
1952,45.33
1953,51.216
1954,50.3
1955,49.242
1956,47.335
1957,47.468
1958,47.03
1959,39.344
1960,32.301
1961,25.948
1962,22.568
1963,21.31
1964,12.249
1965,12.685
1966,13.201
1967,13.634
1968,14.806
1969,15.517
1970,16.313
1971,16.065
1972,17.259
1973,16.187
1974,15.753
1975,15.659
1976,14.583
1977,14.361
1978,25.675
1979,25.731
1980,23.695
1981,22.358
1982,21.237
1983,19.821
1984,10.602
1985,11.367
1986,11.351
1987,11.472
1988,12.341
1989,13.003
1990,14.242
1991,14.683
1992,15.099
1993,15.337
1994,16.656
1995,16.177
1996,15.957
1997,15.724
1998,15.602
1999,15.37
2000,15.231
2001,14.612
2002,27.851
2003,25.401
2004,24.148
2005,23.497
2006,21.637
2007,21.293
2008,10.436
2009,10.736
2010,11.002
2011,10.867
2012,12.235
2013,13.319
2014,13.397
2015,14.356
2016,14.626
2017,15.32
2018,16.059
2019,15.734
2020,16.79
2021,15.44
2022,16.074
2023,15.321
2024,15.502
2025,28.276
2026,24.625
2027,22.744
2028,21.998
2029,20.882
2030,19.967
2031,19.394
2032,11.029
2033,10.565
2034,10.707
2035,11.72
2036,12.102
2037,12.838
2038,13.361
2039,14.224
2040,15.501
2041,14.882
2042,15.457
2043,16.479
2044,16.951
2045,16.135
2046,15.442
2047,14.735
2048,15.042
2049,26.881
2050,27.392
2051,25.628
2052,22.691
2053,21.405
2054,20.003
2055,19.933
2056,10.845
2057,10.956
2058,11.593
2059,11.829
2060,12.863
2061,12.345
2062,13.39
2063,13.963
2064,15.26
2065,15.32
2066,16.186
2067,15.744
2068,16.273
2069,17.15
2070,16.599
2071,14.783
2072,15.081
2073,28.32
2074,25.658
2075,23.543
2076,22.936
2077,21.201
2078,20.339
2079,19.303
2080,11.478
2081,10.689
2082,11.073
2083,11.796
2084,12.436
2085,12.428
2086,14.019
2087,13.765
2088,14.948
2089,15.392
2090,15.663
2091,16.678
2092,15.354
2093,15.922
2094,15.586
2095,15.85
2096,15.524
2097,28.285
2098,26.885
2099,22.864
2100,22.655
2101,20.417
2102,19.874
2103,19.498
2104,10.872
2105,11.315
2106,10.657
2107,11.403
2108,11.76
2109,12.344
2110,13.92
2111,14.351
2112,15.527
2113,15.971
2114,15.973
2115,15.825
2116,16.716
2117,15.938
2118,15.467
2119,15.065
2120,14.991
2121,28.625
2122,26.013
2123,24.952
2124,22.614
2125,20.922
2126,21.427
2127,20.262
2128,10.899
2129,10.711
2130,10.761
2131,11.763
2132,12.134
2133,13.022
2134,13.688
2135,14.442
2136,15.372
2137,15.633
2138,15.657
2139,15.906
